Namespace(engine_id='integration_test_1', engine_id_2='integration_test_2', events_file='examples/cb_events.csv', events_file_2='examples/cb_events_2.csv', queries_file='examples/cb_queries.csv', url='http://localhost:9090')
Events for integration_test_2
localhost:9090
Importing data...
Event: ['$set', 'user', 'user_1', 'location:Hanoi']
Event: ['$set', 'user', 'user_2', 'location:Bangkok']
Event: ['$set', 'user', 'user_3', 'location:Bangkok']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
Event: ['page-view-conversion', 'user_2', '1', '2', 'false']
Event: ['page-view-conversion', 'user_2', '1', '1', 'true']
